rowNumber,safetyClass,recommendedEnrichmentAction,decisionNeeded,enrichmentTypes,roiGroup,provider,category,title,formats,bestMatchScore,targetEvidence,targetIds,detectedFamilies,siteFamiliesPresent,sourcePlacement,dPath,cleanedRecommendation,geographyRecommendation,refinedStatus
66,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Gaeltacht Language Planning Area Boundaries Generalised 50m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.37,database-map:counties-ireland (Counties of Ireland; 0.37) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.37) | browse-map:counties-ireland (Counties of Ireland; 0.37),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../gaeltacht-language-planning-area-boundaries-generalised-50m-national-administrative-bounda-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
67,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Gaeltacht Language Planning Area Boundaries Ungeneralised - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.39,database-map:counties-ireland (Counties of Ireland; 0.39) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.39) | browse-map:counties-ireland (Counties of Ireland; 0.39),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../gaeltacht-language-planning-area-boundaries-ungeneralised-national-administrative-boundari-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
68,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Gaeltacht Language Planning Areas - National Administrative Boundaries - Ungen. - 2024,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.41,database-map:counties-ireland (Counties of Ireland; 0.41) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.41) | browse-map:counties-ireland (Counties of Ireland; 0.41),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../gaeltacht-language-planning-areas-national-administrative-boundaries-ungen-20241,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
69,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Gaeltacht Language Planning Areas - National Administrative Boundaries - Ungeneralised - 2026,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../gaeltacht-language-planning-areas-national-administrative-boundaries-ungeneralised-2026,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
70,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas - National Statutory Boundaries - 2019,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.67,database-map:counties-ireland (Counties of Ireland; 0.67) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.67) | browse-map:counties-ireland (Counties of Ireland; 0.67),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-national-statutory-boundaries-20191,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
71,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas - National Statutory Boundaries - 2019 - Generalised 20m,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.53,database-map:counties-ireland (Counties of Ireland; 0.53) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.53) | browse-map:counties-ireland (Counties of Ireland; 0.53),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-national-statutory-boundaries-2019-generalised-20m1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
72,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas - National Statutory Boundaries - Ungeneralised - 2024,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.50,database-map:counties-ireland (Counties of Ireland; 0.50) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.50) | browse-map:counties-ireland (Counties of Ireland; 0.50),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-national-statutory-boundaries-ungeneralised-20241,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
73,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas - National Statutory Boundaries - Ungeneralised 2026,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.53,database-map:counties-ireland (Counties of Ireland; 0.53) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.53) | browse-map:counties-ireland (Counties of Ireland; 0.53),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-national-statutory-boundaries-ungeneralised-2026,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
74,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas Boundaries Generalised 100m - National Administrative boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-boundaries-generalised-100m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
75,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas Boundaries Generalised 20m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-boundaries-generalised-20m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
76,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas Boundaries Generalised 50m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-boundaries-generalised-50m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
77,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Local Electoral Areas Boundaries Ungeneralised - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.47,database-map:counties-ireland (Counties of Ireland; 0.47) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.47) | browse-map:counties-ireland (Counties of Ireland; 0.47),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../local-electoral-areas-boundaries-ungeneralised-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
78,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Municipal Districts Generalised 100m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../municipal-districts-generalised-100m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
79,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Municipal Districts Generalised 20m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../municipal-districts-generalised-20m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
80,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Municipal Districts Generalised 50m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.44,database-map:counties-ireland (Counties of Ireland; 0.44) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.44) | browse-map:counties-ireland (Counties of Ireland; 0.44),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../municipal-districts-generalised-50m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
81,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Municipal Districts Ungeneralised - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.47,database-map:counties-ireland (Counties of Ireland; 0.47) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.47) | browse-map:counties-ireland (Counties of Ireland; 0.47),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../municipal-districts-ungeneralised-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
82,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Province Boundaries Generalised 100m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.47,database-map:counties-ireland (Counties of Ireland; 0.47) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.47) | browse-map:counties-ireland (Counties of Ireland; 0.47),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,provinces;habitat-protected-sites,provinces;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../province-boundaries-generalised-100m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
83,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Province Boundaries Generalised 20m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.47,database-map:counties-ireland (Counties of Ireland; 0.47) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.47) | browse-map:counties-ireland (Counties of Ireland; 0.47),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,provinces;habitat-protected-sites,provinces;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../province-boundaries-generalised-20m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
84,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Province Boundaries Generalised 50m - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.47,database-map:counties-ireland (Counties of Ireland; 0.47) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.47) | browse-map:counties-ireland (Counties of Ireland; 0.47),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,provinces;habitat-protected-sites,provinces;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../province-boundaries-generalised-50m-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
85,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Province Boundaries Ungeneralised - National Administrative Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.50,database-map:counties-ireland (Counties of Ireland; 0.50) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.50) | browse-map:counties-ireland (Counties of Ireland; 0.50),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,provinces;habitat-protected-sites,provinces;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../province-boundaries-ungeneralised-national-administrative-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
86,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Provinces - National Statutory Boundaries - 2019,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.71,database-map:counties-ireland (Counties of Ireland; 0.71) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.71) | browse-map:counties-ireland (Counties of Ireland; 0.71),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,provinces;habitat-protected-sites,provinces;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../provinces-national-statutory-boundaries-20191,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
